category,days_observed,avg_cr3,avg_hhi,avg_price_median,avg_review_median,asin_retention_14d,brand_retention_14d,nr_bs_overlap_pct,ms_bs_overlap_pct,score_market_size,score_competition,score_new_product,score_momentum,score_stability,entropy_weights,composite_score,is_pareto,strategy_tag,n_subcategories,is_subcategory,parent_category,est_monthly_gmv,score_openness,tier,flag,archetype
Category A,13,0.14846153846153845,0.029427372903264835,40.0,885.0,0.73,0.7547169811320755,0.0625,0.07360861759425494,0.26069043362510297,0.815567176757674,0.8950784858686291,0.5084773236348326,0.527249021853843,"{""score_market_size"": 0.32760693770711274, ""score_competition"": 0.061317751919427704, ""score_new_product"": 0.15322561005137458, ""score_momentum"": 0.23012235210033366, ""score_stability"": 0.2277273482217513}",0.6047771513070017,1,Top Pick,9,0,,44702208.0,0.8209195756147953,高潜机会类目,Top Opportunity,新兴机会
Category C,13,0.13230769230769232,0.020960701536478093,10.3,27021.0,0.76,0.8923076923076924,0.017793594306049824,0.008438818565400843,0.4693906863521584,0.9255471256133261,0.3392707164562192,0.4568572022068154,0.9879385086647067,"{""score_market_size"": 0.32760693770711274, ""score_competition"": 0.061317751919427704, ""score_new_product"": 0.15322561005137458, ""score_momentum"": 0.23012235210033366, ""score_stability"": 0.2277273482217513}",0.5443123779249603,0,Watch,4,0,,770322257.0,0.5695648256597944,高潜机会类目,—,稳定现金流市场
Category B,13,0.26153846153846155,0.04294632423458041,24.84,3670.0,0.75,0.9,0.02586206896551724,0.08299595141700405,0.6744150607516318,0.6399593715660542,0.472444001465104,0.40019922142228187,0.9367258232530687,"{""score_market_size"": 0.32760693770711274, ""score_competition"": 0.061317751919427704, ""score_new_product"": 0.15322561005137458, ""score_momentum"": 0.23012235210033366, ""score_stability"": 0.2277273482217513}",0.5262960335775787,0,Crowded,16,0,,349429503.0,0.2506588455813894,高潜机会类目,—,高热红海
Category D,12,0.3758333333333333,0.07007486606685595,10.06,20211.0,0.73,0.7555555555555555,0.01466275659824047,0.0211864406779661,0.4605916744721674,0.2875663809810865,0.3506698353332961,0.7129150341523394,0.3256509202404341,"{""score_market_size"": 0.32760693770711274, ""score_competition"": 0.061317751919427704, ""score_new_product"": 0.15322561005137458, ""score_momentum"": 0.23012235210033366, ""score_stability"": 0.2277273482217513}",0.37563339009944513,1,Hidden Gem,7,0,,667138804.0,0.13826644502331192,谨慎评估类目,—,高成长高波动
Category E,12,0.15500000000000003,0.021831713928481235,16.91,14767.0,0.61,0.7794117647058824,0.008130081300813009,0.013944223107569721,0.26093047758915755,0.9142328919345595,0.1219398919987495,0.2612016533900994,0.25746366380113395,"{""score_market_size"": 0.32760693770711274, ""score_competition"": 0.061317751919427704, ""score_new_product"": 0.15322561005137458, ""score_momentum"": 0.23012235210033366, ""score_stability"": 0.2277273482217513}",0.3324110488173369,0,Avoid,8,0,,310483236.0,0.6599626137664504,低优先级类目,—,低效开放市场
